Ceratobasidium sp. 394, fungi
Ceratobasidium sp. 395, fungi
Ceratobasidium sp. 414, fungi
Ceratobasidium sp. 423, fungi
Ceratobasidium sp. 428, fungi
Ceratobasidium sp. AG-Ba, fungi
Ceratobasidium sp. AG-I, fungi
Ceratobasidium sp. UAMH 11750, fungi
Ceratobasidium theobromae, fungi
Ceratocystiopsis brevicomis, fungi
Ceratocystiopsis minuta, fungi
Ceratocystiopsis sp. VPRI43766, fungi
Ceratocystis adiposa, fungi
Ceratocystis albifundus, fungi
Ceratocystis cacaofunesta, fungi
Ceratocystis eucalypticola, fungi
Ceratocystis fimbriata, fungi
Ceratocystis harringtonii, fungi
Ceratocystis manginecans, fungi
Ceratocystis platani, fungi
Ceratocystis smalleyi, fungi
Cercospora berteroae, fungi
Cercospora beticola, fungi
Cercospora brassicicola, fungi
Cercospora canescens, fungi
Cercospora cf. flagellaris, fungi
Cercospora cf. sigesbeckiae, fungi
Cercospora citrullina, fungi
Cercospora kikuchii, fungi
Cercospora nicotianae, fungi
Cercospora sesami, fungi
Cercospora sojina, fungi
Cercospora zeae-maydis, fungi
Cercospora zeina, fungi
Cetradonia linearis, fungi
Chaetomium cochliodes, fungi
Chaetomium globosum, fungi
Chaetomium thermophilum, fungi
Chaetothyriales sp. CBS 132003, fungi
Chaetothyriales sp. CBS 134916, fungi
Chaetothyriales sp. CBS 134920, fungi
Chaetothyriales sp. CBS 135597, fungi
Chaetothyriales sp. FJII-L3-CM-DR1, fungi
Chaetothyriales sp. YQ-2020a, fungi
Chaetothyriales sp. YQ-2020b, fungi
Chalara longipes, fungi
Chalaropsis populi, fungi
Chalaropsis thielavioides, fungi
Chiua virens, fungi
Chlorencoelia torta, fungi
Chlorociboria aeruginascens, fungi
Choanephora cucurbitarum, fungi
Choiromyces venosus, fungi
Chondrostereum purpureum, fungi
Chroogomphus rutilus, fungi
Chrysoporthe austroafricana, fungi
Chrysoporthe cubensis, fungi
Chrysoporthe deuterocubensis, fungi
Chrysoporthe sp. MAF-2017a, fungi
Chrysosphaeria jan-nelii, fungi
Chrysosporium queenslandicum, fungi
Chrysosporium tropicum, fungi
Chytriomyces confervae, fungi
Ciboria shiraiana, fungi
Ciborinia camelliae, fungi
Citeromyces hawaiiensis, fungi
Citeromyces matritensis, fungi
Citeromyces siamensis, fungi
Cladobotryum protrusum, fungi
